label,n_pos,AUC,AUPRC,thresh,sens,spec,prec,F1,youden_J,TP,FP,TN,FN
Atelectasis,2339,0.7936455294137635,0.31903583848757777,0.1193055,0.7601539119281744,0.6840999071313358,0.21575051571411236,0.33610586011342153,0.4442538190595102,1778,6463,13996,561
Cardiomegaly,539,0.892846411545108,0.24589876820950868,0.03358951,0.7662337662337663,0.8424457522799766,0.10535714285714286,0.18524332810047095,0.6086795185137429,413,3507,18752,126
Effusion,2824,0.8789147208651702,0.5110349499451241,0.10356715,0.8452549575070821,0.7648442975868629,0.33695652173913043,0.4818328623334679,0.610099255093945,2387,4697,15277,437
Infiltration,4071,0.6976059075928357,0.33677625524658833,0.17412922,0.5676737902235323,0.7292679019597372,0.3131012057986723,0.4035976248690185,0.29694169218326955,2311,5070,13657,1760
Mass,1098,0.8165396237818238,0.2934544711365741,0.059210256,0.692167577413479,0.7976036866359447,0.14751552795031056,0.2432,0.4897712640494237,760,4392,17308,338
Nodule,1376,0.7554323805618219,0.22863089713739293,0.051941562,0.65625,0.726542806460648,0.13356012424197605,0.22194912129777558,0.38279280646064795,903,5858,15564,473
Pneumonia,286,0.7431107449764167,0.04249510377073633,0.011115014,0.6433566433566433,0.7367626154939588,0.03011456628477905,0.05753595997498437,0.3801192588506021,184,5926,16586,102
Pneumothorax,1133,0.8787193013081934,0.3090498526485152,0.04831607,0.8155339805825242,0.7898453727209785,0.16870549570932994,0.2795763993948563,0.6053793533035028,924,4553,17112,209
Consolidation,905,0.7788754345910913,0.1225065969921343,0.042642392,0.7569060773480663,0.6789384734846755,0.0887995851698211,0.15895115442626756,0.4358445508327417,685,7029,14864,220
Edema,448,0.9010973453978907,0.17202820609567876,0.014957086,0.8794642857142857,0.7723489932885906,0.07187157971543233,0.13288364249578416,0.6518132790028763,394,5088,17262,54
Emphysema,543,0.9001069141248702,0.3334618740743073,0.042722195,0.7532228360957642,0.8923837339923613,0.14586305278174036,0.24439796832984761,0.6456065700881255,409,2395,19860,134
Fibrosis,326,0.7914999743375261,0.09142571472126587,0.018653521,0.7423312883435583,0.7045656817372731,0.035169306786804244,0.0671569307617594,0.4468969700808314,242,6639,15833,84
Pleural_Thickening,650,0.7783778705491727,0.10197474577222687,0.025809623,0.7446153846153846,0.6822286436698574,0.06434458920499866,0.11845325501713166,0.42684402828524187,484,7038,15110,166
Hernia,46,0.8477334051855928,0.0500712147623754,0.0028671587,0.6739130434782609,0.8993055555555556,0.013350559862187769,0.026182432432432432,0.5732185990338164,31,2291,20461,15
